City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3hrs),Snow inches (last 3hrs)
0,Punta Arenas,CL,2021-08-02 19:48:22,-53.15,-70.9167,42.91,75,75,21.85,light intensity shower rain,0,0
1,Fairbanks,US,2021-08-02 19:44:42,64.8378,-147.7164,78.03,58,20,0.0,few clouds,0,0
2,Nikolskoye,RU,2021-08-02 19:48:25,59.7035,30.7861,63.39,99,100,3.8,moderate rain,0,0
3,Ostrovnoy,RU,2021-08-02 19:48:26,68.0531,39.5131,56.59,90,87,7.34,overcast clouds,0,0
4,Grand-Santi,GF,2021-08-02 19:48:28,4.25,-54.3833,80.76,80,83,1.39,broken clouds,0,0
5,Micheweni,TZ,2021-08-02 19:48:30,-4.9667,39.8333,74.23,82,92,11.32,overcast clouds,0,0
6,Puerto Ayora,EC,2021-08-02 19:48:31,-0.7393,-90.3518,80.56,82,78,11.92,broken clouds,0,0
7,Puerto Escondido,MX,2021-08-02 19:48:33,15.85,-97.0667,89.11,59,96,8.46,overcast clouds,0,0
8,Saint George,US,2021-08-02 19:46:29,37.1041,-113.5841,100.8,26,1,1.01,clear sky,0,0
9,Qaanaaq,GL,2021-08-02 19:48:35,77.484,-69.3632,45.46,65,100,4.92,overcast clouds,0,0
10,Cervo,ES,2021-08-02 19:48:36,43.6702,-7.4101,64.2,81,38,4.25,scattered clouds,0,0
11,Port Elizabeth,ZA,2021-08-02 19:48:37,-33.918,25.5701,57.49,77,75,16.11,broken clouds,0,0
12,Tateyama,JP,2021-08-02 19:48:38,34.9833,139.8667,80.62,86,84,10.6,broken clouds,0,0
13,Hole Narsipur,IN,2021-08-02 19:48:40,12.7828,76.2431,67.05,88,100,8.79,overcast clouds,0,0
14,Tasiilaq,GL,2021-08-02 19:48:42,65.6145,-37.6368,46.56,82,100,2.46,overcast clouds,0,0
15,Ponta Do Sol,PT,2021-08-02 19:48:44,32.6667,-17.1,76.01,72,13,6.26,few clouds,0,0
16,Butaritari,KI,2021-08-02 19:48:45,3.0707,172.7902,82.26,73,24,6.33,light rain,0,0
17,Rikitea,PF,2021-08-02 19:44:31,-23.1203,-134.9692,68.81,54,69,20.45,broken clouds,0,0
18,Carnarvon,AU,2021-08-02 19:48:48,-24.8667,113.6333,48.27,45,0,11.5,clear sky,0,0
19,Castro,BR,2021-08-02 19:48:50,-24.7911,-50.0119,59.94,69,0,5.48,clear sky,0,0
20,Latung,PH,2021-08-02 19:48:51,5.5,120.8833,83.59,75,81,6.51,broken clouds,0,0
21,Fuxin,CN,2021-08-02 19:48:52,42.0156,121.6589,65.23,92,18,3.69,few clouds,0,0
22,Saldanha,ZA,2021-08-02 19:48:54,-33.0117,17.9442,55.45,77,0,7.29,clear sky,0,0
23,Albany,US,2021-08-02 19:47:48,42.6001,-73.9662,79.03,50,21,1.01,few clouds,0,0
24,Longyearbyen,SJ,2021-08-02 19:45:18,78.2186,15.6401,46.24,76,75,16.11,broken clouds,0,0
25,Airai,TL,2021-08-02 19:48:57,-8.9266,125.4092,55.67,79,43,3.56,scattered clouds,0,0
26,Kapaa,US,2021-08-02 19:48:59,22.0752,-159.319,82.38,77,20,3.0,few clouds,0,0
27,Waipawa,NZ,2021-08-02 19:49:01,-41.4122,175.5153,48.83,87,100,9.1,overcast clouds,0,0
28,Tukrah,LY,2021-08-02 19:49:03,32.5341,20.5791,83.08,66,0,10.98,clear sky,0,0
29,Mataura,NZ,2021-08-02 19:49:04,-46.1927,168.8643,42.48,98,100,2.59,overcast clouds,0,0
30,Hobart,AU,2021-08-02 19:47:42,-42.8794,147.3294,44.28,87,98,3.44,moderate rain,0,0
31,Klaksvik,FO,2021-08-02 19:49:07,62.2266,-6.589,50.92,85,100,11.23,overcast clouds,0,0
32,Broome,US,2021-08-02 19:49:10,42.2506,-75.833,75.0,53,20,1.99,few clouds,0,0
33,Upington,ZA,2021-08-02 19:49:13,-28.4478,21.2561,55.78,28,0,4.61,clear sky,0,0
34,Barrow,US,2021-08-02 19:49:16,71.2906,-156.7887,42.82,87,90,14.97,mist,0,0
35,Roma,US,2021-08-02 19:45:56,43.2128,-75.4557,75.38,47,20,12.66,few clouds,0,0
36,Kahului,US,2021-08-02 19:48:07,20.8947,-156.47,80.83,73,40,17.27,scattered clouds,0,0
37,Raga,SS,2021-08-02 19:49:19,8.4596,25.678,69.48,91,15,4.7,few clouds,0,0
38,Santa Rosa,PH,2021-08-02 19:49:21,14.3122,121.1114,82.9,88,100,16.11,overcast clouds,0,0
39,Bubaque,GW,2021-08-02 19:49:22,11.2833,-15.8333,79.12,82,98,19.13,overcast clouds,0,0
40,Billings,US,2021-08-02 19:47:03,45.7833,-108.5007,94.37,24,20,6.91,haze,0,0
41,Foumban,CM,2021-08-02 19:49:24,5.7291,10.9001,64.94,95,100,2.1,light rain,0,0
42,Taoudenni,ML,2021-08-02 19:49:26,22.6783,-3.9836,97.68,26,100,3.76,overcast clouds,0,0
43,Hasaki,JP,2021-08-02 19:49:27,35.7333,140.8333,77.4,91,100,10.6,overcast clouds,0,0
44,Dalvik,IS,2021-08-02 19:49:29,65.9702,-18.5286,57.13,91,100,1.25,overcast clouds,0,0
45,Okha,RU,2021-08-02 19:49:32,53.5739,142.9478,54.91,86,100,11.97,overcast clouds,0,0
46,Salamanca,ES,2021-08-02 19:49:37,40.8333,-6.0,73.18,35,5,7.02,clear sky,0,0
47,Port Alfred,ZA,2021-08-02 19:49:39,-33.5906,26.891,58.41,78,56,19.39,broken clouds,0,0
48,Saint Anthony,US,2021-08-02 19:49:41,45.0205,-93.218,83.95,40,75,4.61,broken clouds,0,0
49,Victoria,HK,2021-08-02 19:46:45,22.2855,114.1577,86.32,85,100,1.01,overcast clouds,0,0
50,East London,ZA,2021-08-02 19:49:43,-33.0153,27.9116,60.15,74,98,15.73,overcast clouds,0,0
51,Ixtapa,MX,2021-08-02 19:49:45,20.7,-105.2,89.22,70,16,5.01,few clouds,0,0
52,Busselton,AU,2021-08-02 19:49:46,-33.65,115.3333,45.09,76,100,7.34,overcast clouds,0,0
53,Saskylakh,RU,2021-08-02 19:49:48,71.9167,114.0833,60.94,75,25,5.91,scattered clouds,0,0
54,Hami,CN,2021-08-02 19:49:50,42.8,93.45,78.96,21,1,6.38,clear sky,0,0
55,Riyadh,SA,2021-08-02 19:44:55,24.6877,46.7219,95.14,8,20,10.76,few clouds,0,0
56,Cape Town,ZA,2021-08-02 19:46:00,-33.9258,18.4232,58.12,83,0,2.3,clear sky,0,0
57,Long Beach,US,2021-08-02 19:45:18,33.767,-118.1892,106.18,57,1,6.91,clear sky,0,0
58,Kelo,TD,2021-08-02 19:49:56,9.3086,15.8066,75.45,84,72,6.02,broken clouds,0,0
59,Tuktoyaktuk,CA,2021-08-02 19:49:57,69.4541,-133.0374,51.8,87,90,12.66,overcast clouds,0,0
60,Noumea,NC,2021-08-02 19:49:59,-22.2763,166.4572,66.0,99,0,4.05,clear sky,0,0
61,Corrientes,AR,2021-08-02 19:50:00,-27.4806,-58.8341,73.98,41,0,1.99,clear sky,0,0
62,Upernavik,GL,2021-08-02 19:50:02,72.7868,-56.1549,46.62,68,12,2.17,few clouds,0,0
63,Hilo,US,2021-08-02 19:50:04,19.7297,-155.09,78.24,89,90,4.61,moderate rain,0,0
64,Koumac,NC,2021-08-02 19:50:11,-20.5667,164.2833,62.73,70,5,4.52,clear sky,0,0
65,Katsuura,JP,2021-08-02 19:50:13,35.1333,140.3,80.71,89,36,9.84,scattered clouds,0,0
66,Chuy,UY,2021-08-02 19:50:16,-33.6971,-53.4616,55.09,85,33,7.18,scattered clouds,0,0
67,Hermanus,ZA,2021-08-02 19:50:18,-34.4187,19.2345,57.9,91,4,10.27,clear sky,0,0
68,Sao Joao Da Barra,BR,2021-08-02 19:50:19,-21.6403,-41.0511,75.29,73,0,11.61,clear sky,0,0
69,Kaitangata,NZ,2021-08-02 19:50:20,-46.2817,169.8464,45.93,63,100,11.12,overcast clouds,0,0
70,Vaini,TO,2021-08-02 19:50:22,-21.2,-175.2,66.36,82,20,8.05,few clouds,0,0
71,Dikson,RU,2021-08-02 19:50:23,73.5069,80.5464,49.42,77,100,11.14,overcast clouds,0,0
72,Acapulco,MX,2021-08-02 19:50:25,16.8634,-99.8901,88.12,66,51,7.16,broken clouds,0,0
73,Progreso,MX,2021-08-02 19:50:27,21.2833,-89.6667,86.65,63,79,16.8,broken clouds,0,0
74,Pisco,PE,2021-08-02 19:48:30,-13.7,-76.2167,66.25,72,40,10.36,scattered clouds,0,0
75,Pevek,RU,2021-08-02 19:50:31,69.7008,170.3133,33.82,86,100,22.62,overcast clouds,0,0
76,Codrington,AU,2021-08-02 19:50:33,-38.2667,141.9667,41.74,94,100,9.8,light rain,0,0
77,Ancud,CL,2021-08-02 19:50:35,-41.8697,-73.8203,56.73,97,100,4.36,overcast clouds,0,0
78,Kodiak,US,2021-08-02 19:50:36,57.79,-152.4072,53.11,94,90,9.22,mist,0,0
79,Paramonga,PE,2021-08-02 19:50:38,-10.6667,-77.8333,67.73,73,12,11.41,few clouds,0,0
80,Ereymentau,KZ,2021-08-02 19:50:40,51.6199,73.1033,68.23,54,82,4.36,broken clouds,0,0
81,Cidreira,BR,2021-08-02 19:50:41,-30.1811,-50.2056,58.33,73,0,7.34,clear sky,0,0
82,Maldonado,UY,2021-08-02 19:48:28,-34.6667,-54.9167,51.19,77,40,4.54,scattered clouds,0,0
83,Aklavik,CA,2021-08-02 19:50:45,68.2191,-135.0107,65.23,82,90,3.44,overcast clouds,0,0
84,Beloha,MG,2021-08-02 19:50:46,-25.1667,45.05,64.04,80,0,5.3,clear sky,0,0
85,Atuona,PF,2021-08-02 19:50:48,-9.8,-139.0333,77.85,74,40,18.23,scattered clouds,0,0
86,Olinda,BR,2021-08-02 19:50:49,-8.0089,-34.8553,74.93,88,75,14.97,broken clouds,0,0
87,Clyde River,CA,2021-08-02 19:50:51,70.4692,-68.5914,43.03,81,1,9.22,clear sky,0,0
88,Saint-Philippe,RE,2021-08-02 19:50:52,-21.3585,55.7679,66.22,70,23,1.63,few clouds,0,0
89,Slonim,BY,2021-08-02 19:50:53,53.0867,25.3219,56.7,95,80,6.46,broken clouds,0,0
90,Haines Junction,CA,2021-08-02 19:50:55,60.7522,-137.5108,69.75,49,88,2.3,overcast clouds,0,0
91,New Norfolk,AU,2021-08-02 19:50:56,-42.7826,147.0587,43.92,80,100,2.8,light rain,0,0
92,Okhotsk,RU,2021-08-02 19:50:57,59.3833,143.3,55.89,74,100,7.14,overcast clouds,0,0
93,Wanning,CN,2021-08-02 19:50:59,18.8003,110.3967,80.67,85,75,10.38,broken clouds,0,0
94,Chokurdakh,RU,2021-08-02 19:51:00,70.6333,147.9167,42.84,62,34,8.19,scattered clouds,0,0
95,Tura,IN,2021-08-02 19:51:02,25.5198,90.2201,73.87,98,99,3.76,light rain,0,0
96,Ushuaia,AR,2021-08-02 19:51:04,-54.8,-68.3,44.26,53,75,21.85,light intensity drizzle,0,0
97,Constitucion,CL,2021-08-02 19:51:05,-35.3333,-72.4167,62.02,56,0,11.9,clear sky,0,0
98,Kantang,TH,2021-08-02 19:51:07,7.4054,99.5156,80.56,81,100,9.33,overcast clouds,0,0
99,Funadhoo,MV,2021-08-02 19:51:08,6.15,73.2667,82.67,72,100,6.29,overcast clouds,0,0
100,Sinnamary,GF,2021-08-02 19:51:10,5.3833,-52.95,80.94,82,60,8.77,broken clouds,0,0
101,Gravdal,NO,2021-08-02 19:51:12,68.1214,13.5031,47.88,93,75,0.0,broken clouds,0,0
102,Vuktyl,RU,2021-08-02 19:51:13,63.8567,57.3094,56.82,96,32,5.14,scattered clouds,0,0
103,Tambacounda,SN,2021-08-02 19:51:15,13.7539,-13.7586,78.85,89,75,6.91,broken clouds,0,0
104,Margate,GB,2021-08-02 19:51:17,51.3813,1.3862,62.04,70,100,1.99,overcast clouds,0,0
105,Nyanguge,TZ,2021-08-02 19:51:18,-2.55,33.2,67.71,56,42,5.66,scattered clouds,0,0
106,Tuy Hoa,VN,2021-08-02 19:51:19,13.0833,109.3,85.21,62,100,13.96,overcast clouds,0,0
107,Bluff,NZ,2021-08-02 19:51:21,-46.6,168.3333,43.81,69,100,11.41,overcast clouds,0,0
108,Gornyak,RU,2021-08-02 19:51:23,50.9942,81.4661,69.66,48,21,5.77,few clouds,0,0
109,Mar Del Plata,AR,2021-08-02 19:51:25,-38.0023,-57.5575,56.88,62,0,11.99,clear sky,0,0
110,Itarema,BR,2021-08-02 19:51:26,-2.9248,-39.9167,81.95,60,6,11.99,clear sky,0,0
111,Avarua,CK,2021-08-02 19:51:27,-21.2078,-159.775,73.45,100,75,9.22,light rain,0,0
112,Thompson,CA,2021-08-02 19:51:29,55.7435,-97.8558,75.36,50,20,8.05,few clouds,0,0
113,Kruisfontein,ZA,2021-08-02 19:51:30,-34.0033,24.7314,53.89,94,0,6.49,clear sky,0,0
114,Bathsheba,BB,2021-08-02 19:51:31,13.2167,-59.5167,86.61,70,20,10.36,few clouds,0,0
115,Ilulissat,GL,2021-08-02 19:51:33,69.2167,-51.1,43.5,77,98,4.92,overcast clouds,0,0
116,Caxito,AO,2021-08-02 19:51:35,-8.5785,13.6643,75.85,88,4,4.03,clear sky,0,0
117,Lebu,CL,2021-08-02 19:51:37,-37.6167,-73.65,55.02,73,40,20.31,scattered clouds,0,0
118,Guerrero Negro,MX,2021-08-02 19:51:38,27.9769,-114.0611,86.02,44,9,11.83,clear sky,0,0
119,Najran,SA,2021-08-02 19:51:39,17.4924,44.1277,86.65,50,100,17.63,overcast clouds,0,0
120,Champoton,MX,2021-08-02 19:51:41,19.35,-90.7167,89.89,57,59,12.08,broken clouds,0,0
121,Jamestown,US,2021-08-02 19:49:59,42.097,-79.2353,72.01,48,40,4.0,scattered clouds,0,0
122,Zonguldak,TR,2021-08-02 19:51:44,41.25,31.8333,65.53,48,0,5.06,clear sky,0,0
123,Leshukonskoye,RU,2021-08-02 19:51:46,64.8989,45.7622,55.11,96,14,3.69,few clouds,0,0
124,Asau,RO,2021-08-02 19:51:48,46.4333,26.4,68.92,89,46,4.09,light rain,0,0
125,Juneau,US,2021-08-02 19:49:08,58.3019,-134.4197,64.85,87,90,1.01,overcast clouds,0,0
126,Oistins,BB,2021-08-02 19:51:50,13.0667,-59.5333,86.09,70,20,10.36,few clouds,0,0
127,Brae,GB,2021-08-02 19:51:52,60.3964,-1.353,51.71,73,100,4.43,overcast clouds,0,0
128,Lyuban,BY,2021-08-02 19:51:53,52.7985,28.0048,57.56,96,84,7.74,broken clouds,0,0
129,Narsaq,GL,2021-08-02 19:51:54,60.9167,-46.05,51.66,75,94,1.77,overcast clouds,0,0
130,Havre-Saint-Pierre,CA,2021-08-02 19:51:56,50.2334,-63.5986,62.96,72,90,9.22,overcast clouds,0,0
131,Mwinilunga,ZM,2021-08-02 19:51:59,-11.7358,24.4293,62.08,44,16,4.07,few clouds,0,0
132,Wau,SS,2021-08-02 19:52:01,7.7029,27.9953,69.08,95,100,3.87,overcast clouds,0,0
133,Sitka,US,2021-08-02 19:51:36,57.0531,-135.33,60.69,77,90,12.66,overcast clouds,0,0
134,Salalah,OM,2021-08-02 19:52:04,17.0151,54.0924,75.99,93,100,4.12,overcast clouds,0,0
135,Anloga,GH,2021-08-02 19:52:05,5.7947,0.8973,79.02,86,100,8.9,overcast clouds,0,0
136,Marystown,CA,2021-08-02 19:52:07,47.1666,-55.1483,67.86,100,100,1.99,overcast clouds,0,0
137,Daoukro,CI,2021-08-02 19:52:08,7.0591,-3.9631,76.98,74,100,1.57,overcast clouds,0,0
138,Torbay,CA,2021-08-02 19:52:09,47.6666,-52.7314,72.37,59,90,14.97,overcast clouds,0,0
139,Kharp,RU,2021-08-02 19:52:11,66.8014,65.8081,53.17,84,100,6.89,overcast clouds,0,0
140,Togur,RU,2021-08-02 19:52:12,58.3631,82.8265,55.65,87,100,4.79,overcast clouds,0,0
141,Sept-Iles,CA,2021-08-02 19:52:16,50.2001,-66.3821,67.05,68,90,4.0,overcast clouds,0,0
142,Pangkalanbuun,ID,2021-08-02 19:52:17,-2.6833,111.6167,74.17,97,98,1.88,overcast clouds,0,0
143,Vila Velha,BR,2021-08-02 19:49:25,-20.3297,-40.2925,73.96,66,75,6.91,broken clouds,0,0
144,Esso,RU,2021-08-02 19:52:20,55.9333,158.7,43.92,98,100,4.38,overcast clouds,0,0
145,Oktyabrskoye,RU,2021-08-02 19:52:22,43.0645,44.7417,62.74,93,98,4.47,overcast clouds,0,0
146,Rio Grande,BR,2021-08-02 19:49:31,-32.035,-52.0986,59.11,83,19,8.34,few clouds,0,0
147,Saint-Raymond,CA,2021-08-02 19:52:25,45.467,-73.6095,76.98,44,40,4.61,scattered clouds,0,0
148,Sisimiut,GL,2021-08-02 19:52:28,66.9395,-53.6735,47.17,92,99,7.11,light rain,0,0
149,Jiaocheng,CN,2021-08-02 19:52:30,24.6774,116.1389,75.63,98,100,2.35,overcast clouds,0,0
150,Trelew,AR,2021-08-02 19:52:32,-43.249,-65.3051,68.16,20,52,9.84,broken clouds,0,0
151,Mutoko,ZW,2021-08-02 19:52:37,-17.397,32.2268,53.02,36,0,3.04,clear sky,0,0
152,Nurota,UZ,2021-08-02 19:52:38,40.5614,65.6886,78.89,16,0,6.02,clear sky,0,0
153,Itaituba,BR,2021-08-02 19:52:41,-4.2761,-55.9836,90.82,40,99,2.82,overcast clouds,0,0
154,Arraial Do Cabo,BR,2021-08-02 19:52:42,-22.9661,-42.0278,80.56,68,0,12.66,clear sky,0,0
155,Hithadhoo,MV,2021-08-02 19:51:18,-0.6,73.0833,81.61,71,100,5.3,light rain,0,0
156,Zapadnaya Dvina,RU,2021-08-02 19:52:45,56.259,32.0745,59.22,91,100,14.65,overcast clouds,0,0
157,Iberia,US,2021-08-02 19:52:47,29.9502,-91.7507,88.97,79,75,4.61,broken clouds,0,0
158,Aloleng,PH,2021-08-02 19:52:48,16.1307,119.7824,81.93,85,100,21.83,light rain,0,0
159,Cabo San Lucas,MX,2021-08-02 19:52:20,22.8909,-109.9124,101.52,63,81,10.74,broken clouds,0,0
160,Rawson,AR,2021-08-02 19:51:18,-43.3002,-65.1023,65.66,27,61,8.72,broken clouds,0,0
161,Leh,IN,2021-08-02 19:51:56,34.1667,77.5833,64.9,40,14,5.73,few clouds,0,0
162,Marquard,ZA,2021-08-02 19:52:53,-28.6645,27.4305,46.8,29,0,0.78,clear sky,0,0
163,Tiksi,RU,2021-08-02 19:52:54,71.6872,128.8694,49.14,67,91,3.65,overcast clouds,0,0
164,Umea,SE,2021-08-02 19:52:56,63.8284,20.2597,55.9,76,0,4.61,clear sky,0,0
165,Gorontalo,ID,2021-08-02 19:52:57,0.5412,123.0595,74.64,94,51,1.77,broken clouds,0,0
166,Khatanga,RU,2021-08-02 19:52:59,71.9667,102.5,61.88,65,61,9.51,broken clouds,0,0
167,Bredasdorp,ZA,2021-08-02 19:51:37,-34.5322,20.0403,57.27,94,23,4.61,few clouds,0,0
168,Buala,SB,2021-08-02 19:53:02,-8.145,159.5921,78.03,85,57,5.84,light rain,0,0
169,Portland,US,2021-08-02 19:52:31,45.5234,-122.6762,93.2,52,20,1.01,few clouds,0,0
170,Bengkulu,ID,2021-08-02 19:51:40,-3.8004,102.2655,75.25,90,35,3.94,scattered clouds,0,0
171,Yellowknife,CA,2021-08-02 19:53:07,62.456,-114.3525,88.32,29,20,12.66,smoke,0,0
172,Ust-Tsilma,RU,2021-08-02 19:53:09,65.441,52.1498,54.9,95,16,2.06,few clouds,0,0
173,Namibe,AO,2021-08-02 19:51:32,-15.1961,12.1522,69.6,83,81,4.0,broken clouds,0,0
174,Soubre,CI,2021-08-02 19:53:14,5.7856,-6.6083,74.39,85,14,3.29,few clouds,0,0
175,Kalmunai,LK,2021-08-02 19:53:18,7.4167,81.8167,79.97,66,98,5.3,overcast clouds,0,0
176,Nuuk,GL,2021-08-02 19:53:20,64.1835,-51.7216,50.88,81,100,4.0,overcast clouds,0,0
177,Ribeira Grande,PT,2021-08-02 19:51:28,38.5167,-28.7,77.4,83,40,9.22,scattered clouds,0,0
178,San Carlos De Bariloche,AR,2021-08-02 19:52:54,-41.1456,-71.3082,58.75,44,40,16.11,light rain,0,0
179,Peniche,PT,2021-08-02 19:53:24,39.3558,-9.3811,69.28,86,1,18.25,clear sky,0,0
180,Esperance,AU,2021-08-02 19:53:26,-33.8667,121.9,46.24,83,100,9.98,overcast clouds,0,0
181,Norman Wells,CA,2021-08-02 19:51:55,65.282,-126.8329,77.04,44,1,4.61,smoke,0,0
182,Naze,JP,2021-08-02 19:52:40,28.3667,129.4833,77.81,86,47,16.46,scattered clouds,0,0
183,Santa Isabel Do Rio Negro,BR,2021-08-02 19:53:31,-0.4139,-65.0192,87.75,47,44,1.83,scattered clouds,0,0
184,Guthrie,US,2021-08-02 19:53:32,35.8789,-97.4253,86.61,56,1,12.24,clear sky,0,0
185,Narrabri,AU,2021-08-02 19:53:34,-30.3167,149.7833,64.49,68,40,17.27,light rain,0,0
186,Chino Valley,US,2021-08-02 19:53:36,34.7575,-112.4538,94.93,26,2,3.0,clear sky,0,0
187,Luderitz,NA,2021-08-02 19:53:38,-26.6481,15.1594,67.05,38,0,1.97,clear sky,0,0
188,San Jose,US,2021-08-02 19:53:39,37.3394,-121.895,89.85,61,1,4.0,clear sky,0,0
189,Pochutla,MX,2021-08-02 19:53:41,15.7432,-96.4661,91.81,55,79,6.58,broken clouds,0,0
190,Evensk,RU,2021-08-02 19:53:44,61.95,159.2333,45.9,60,7,9.28,clear sky,0,0
191,Praia,CV,2021-08-02 19:53:47,14.9215,-23.5087,81.14,69,20,11.5,few clouds,0,0
192,Taman,RU,2021-08-02 19:53:49,45.2117,36.7161,71.92,67,0,2.57,clear sky,0,0
193,Pyinmana,MM,2021-08-02 19:53:52,19.7333,96.2167,74.1,98,100,4.12,overcast clouds,0,0
194,Bingerville,CI,2021-08-02 19:53:54,5.3584,-3.8869,77.94,89,20,6.91,few clouds,0,0
195,Sursee,CH,2021-08-02 19:53:55,47.1667,8.1,61.74,82,40,3.44,scattered clouds,0,0
196,Bethel,US,2021-08-02 19:53:57,41.3712,-73.414,80.73,55,19,1.01,few clouds,0,0
197,Hofn,IS,2021-08-02 19:54:00,64.2539,-15.2082,53.62,87,90,11.5,mist,0,0
198,Kolokani,ML,2021-08-02 19:54:01,13.5728,-8.0339,79.77,72,95,6.73,overcast clouds,0,0
199,San Pedro,PH,2021-08-02 19:54:03,14.35,121.0167,82.15,90,100,18.14,light rain,0,0
200,Mosquera,CO,2021-08-02 19:54:04,4.7059,-74.2302,66.29,48,40,14.97,scattered clouds,0,0
201,Alyangula,AU,2021-08-02 19:54:07,-13.8483,136.4192,64.27,100,40,2.3,scattered clouds,0,0
202,Basoko,CD,2021-08-02 19:54:09,1.2391,23.616,75.15,76,100,1.28,overcast clouds,0,0
203,Hambantota,LK,2021-08-02 19:54:10,6.1241,81.1185,78.85,81,100,18.57,light rain,0,0
204,Palauig,PH,2021-08-02 19:54:11,15.435,119.9045,81.0,88,100,14.92,heavy intensity rain,0,0
205,Kozulka,UA,2021-08-02 19:54:12,50.0351,23.797,59.32,90,14,4.81,few clouds,0,0
206,Winchester,GB,2021-08-02 19:54:14,51.0651,-1.3187,61.72,91,20,1.14,few clouds,0,0
207,Katherine,AU,2021-08-02 19:54:16,-14.4667,132.2667,66.52,63,63,0.0,broken clouds,0,0
208,Sawtell,AU,2021-08-02 19:54:19,-30.3833,153.1,64.18,96,90,8.05,light rain,0,0
209,Helong,CN,2021-08-02 19:54:23,42.5397,128.9972,70.09,99,100,0.31,overcast clouds,0,0
210,Kaduna,NG,2021-08-02 19:54:24,10.5222,7.4383,69.3,94,100,2.68,overcast clouds,0,0
211,Almaznyy,RU,2021-08-02 19:54:27,48.0448,40.045,78.94,35,5,3.71,clear sky,0,0
212,Agirish,RU,2021-08-02 19:54:29,61.9247,63.0231,58.03,80,74,5.3,broken clouds,0,0
213,Saint-Francois,FR,2021-08-02 19:54:32,46.4154,3.9054,64.67,76,82,2.3,haze,0,0
214,Vostok,RU,2021-08-02 19:54:33,46.4856,135.8833,63.36,96,56,2.37,broken clouds,0,0
215,Te Anau,NZ,2021-08-02 19:54:35,-45.4167,167.7167,37.72,94,58,2.3,broken clouds,0,0
216,Bambous Virieux,MU,2021-08-02 19:54:36,-20.3428,57.7575,65.21,88,20,8.05,few clouds,0,0
217,Sao Miguel Do Araguaia,BR,2021-08-02 19:54:37,-13.275,-50.1628,92.01,18,50,9.1,scattered clouds,0,0
218,Concarneau,FR,2021-08-02 19:54:39,47.875,-3.9225,63.05,78,99,9.64,overcast clouds,0,0
219,Calvinia,ZA,2021-08-02 19:54:40,-31.4707,19.776,58.75,22,0,6.8,clear sky,0,0
220,Seoul,KR,2021-08-02 19:54:42,37.5683,126.9778,76.51,100,20,3.44,few clouds,0,0
221,Leningradskiy,RU,2021-08-02 19:54:43,69.3833,178.4167,32.52,98,100,11.48,light snow,0,0
222,Hobyo,SO,2021-08-02 19:54:45,5.3505,48.5268,77.36,79,23,23.58,few clouds,0,0
223,Sovetskiy,RU,2021-08-02 19:54:46,61.3614,63.5842,61.61,71,85,4.03,overcast clouds,0,0
224,Buraydah,SA,2021-08-02 19:54:49,26.326,43.975,93.65,9,6,2.26,clear sky,0,0
225,Provideniya,RU,2021-08-02 19:52:03,64.3833,-173.3,51.91,76,90,13.42,mist,0,0
226,Hovd,MN,2021-08-02 19:54:54,48.0056,91.6419,60.67,48,0,3.2,clear sky,0,0
227,Port-Gentil,GA,2021-08-02 19:54:57,-0.7193,8.7815,76.96,78,40,8.05,scattered clouds,0,0
